good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
TRUE,0.8,4,7555,821,0.10807,0.79915,0.02,0.32318,0.44915,0.9033,3.878234468675044,2.9143431571194407
FALSE,0.8,4,48554,2221,0.09818,0.73674,0.06,0.2193,0.4661,0.82982,4.6862250139838615,3.346548558548474
TRUE,0.9,4,8500,911,0.10813,0.7907,0.01,0.303,0.44915,0.89249,3.929418925714293,2.9595183769729982
FALSE,0.9,4,54623,2509,0.09758,0.73612,0.07,0.22352,0.45339,0.83955,4.737375548745249,3.3995006613146104
TRUE,1,4,9444,1028,0.10794,0.8061,0.02,0.35273,0.47034,0.90978,3.9751559784066894,3.011993114659257
FALSE,1,4,60692,2807,0.0982,0.73531,0.06,0.22074,0.47034,0.82874,4.78313144915058,3.448242412634439
TRUE,0.1,5,944,105,0.11745,0.73757,0.01,0.23005,0.30085,0.92112,2.974971994298069,2.0211892990699383
FALSE,0.1,5,6069,266,0.10709,0.68349,0.15,0.14349,0.22034,0.91572,3.7831171374904673,2.424881636631067
TRUE,0.2,5,1889,200,0.1192,0.74531,0.01,0.20307,0.29237,0.91032,3.2762319579218335,2.3010299956639813
FALSE,0.2,5,12138,535,0.10261,0.71037,0.04,0.18224,0.42797,0.82064,4.084147133154448,2.7283537820212285
TRUE,0.30000000000000004,5,2833,306,0.10867,0.76771,0.05,0.27618,0.28814,0.94976,3.452246574520437,2.48572142648158
FALSE,0.30000000000000004,5,18208,814,0.09866,0.71486,0.29,0.224,0.22034,0.95894,4.260262244714977,2.910624404889201
TRUE,0.4,5,3778,402,0.10998,0.77003,0.03,0.28444,0.36441,0.9195,3.577261953585815,2.60422605308447
FALSE,0.4,5,24277,1105,0.0982,0.71606,0.2,0.22409,0.2839,0.92653,4.38519501831988,3.0433622780211294
TRUE,0.5,5,4722,510,0.10914,0.78372,0.01,0.27789,0.40254,0.89897,3.674125982742708,2.7075701760979363
FALSE,0.5,5,30346,1435,0.09995,0.71991,0.08,0.20591,0.40678,0.85089,4.482101453486599,3.156851901070011
TRUE,0.6,5,5666,610,0.10562,0.78844,0.03,0.29063,0.38136,0.91518,3.7532765701844184,2.785329835010767
FALSE,0.6,5,36415,1704,0.09862,0.72471,0.11,0.22339,0.38983,0.87196,4.561280314290289,3.2314695904306814
TRUE,0.7000000000000001,5,6611,725,0.10487,0.77852,0.13,0.30675,0.33898,0.94111,3.8202671571609645,2.8603380065709936
FALSE,0.7000000000000001,5,42484,1969,0.09854,0.73217,0.05,0.21139,0.48305,0.81469,4.6282254001672145,3.2942457161381182
TRUE,0.8,5,7555,827,0.10581,0.79821,0.02,0.34496,0.46186,0.90924,3.878234468675044,2.9175055095525466
FALSE,0.8,5,48554,2254,0.09892,0.73307,0.05,0.21606,0.48305,0.81848,4.6862250139838615,3.3529539117100877
TRUE,0.9,5,8500,913,0.10326,0.80353,0.07,0.33509,0.38559,0.93463,3.929418925714293,2.960470777534299
FALSE,0.9,5,54623,2531,0.09768,0.74146,0.07,0.22425,0.45339,0.84009,4.737375548745249,3.4032921451582543
TRUE,1,5,9444,1028,0.10274,0.80151,0.02,0.35944,0.47034,0.91302,3.9751559784066894,3.011993114659257
FALSE,1,5,60692,2807,0.09788,0.73626,0.06,0.22637,0.47881,0.82874,4.78313144915058,3.448242412634439
TRUE,0.1,6,944,111,0.1162,0.73657,0.02,0.22199,0.27119,0.93193,2.974971994298069,2.0453229787866576
FALSE,0.1,6,6069,265,0.10517,0.69819,0.04,0.19,0.46186,0.80821,3.7831171374904673,2.423245873936808
TRUE,0.2,6,1889,207,0.1198,0.74946,0.02,0.191,0.25,0.92653,3.2762319579218335,2.315970345456918
FALSE,0.2,6,12138,591,0.1027,0.69943,0.03,0.18023,0.51695,0.76823,4.084147133154448,2.7715874808812555
TRUE,0.30000000000000004,6,2833,320,0.1089,0.77935,0.01,0.27957,0.34322,0.92653,3.452246574520437,2.505149978319906
FALSE,0.30000000000000004,6,18208,862,0.10267,0.7146,0.03,0.1736,0.5,0.77147,4.260262244714977,2.9355072658247128
TRUE,0.4,6,3778,395,0.10694,0.77292,0.01,0.29124,0.40678,0.90438,3.577261953585815,2.59659709562646
FALSE,0.4,6,24277,1076,0.10066,0.72789,0.05,0.21472,0.48305,0.8174,4.38519501831988,3.0318122713303706
TRUE,0.5,6,4722,503,0.10595,0.78834,0.01,0.31818,0.47034,0.89195,3.674125982742708,2.7015679850559273
FALSE,0.5,6,30346,1422,0.09957,0.72103,0.05,0.21147,0.48729,0.81253,4.482101453486599,3.1528995963937474
TRUE,0.6,6,5666,604,0.10762,0.78941,0.01,0.30091,0.42373,0.90222,3.7532765701844184,2.7810369386211318
FALSE,0.6,6,36415,1673,0.09925,0.73025,0.08,0.21586,0.41949,0.85143,4.561280314290289,3.2234959409623944
TRUE,0.7000000000000001,6,6611,718,0.10855,0.78477,0.01,0.29878,0.41102,0.90654,3.8202671571609645,2.8561244442423
FALSE,0.7000000000000001,6,42484,1962,0.09864,0.72701,0.06,0.21065,0.44915,0.83198,4.6282254001672145,3.29269900304393
TRUE,0.8,6,7555,831,0.10395,0.78967,0.02,0.31698,0.44915,0.90005,3.878234468675044,2.919601023784111
FALSE,0.8,6,48554,2257,0.09923,0.72988,0.06,0.20996,0.44915,0.83144,4.6862250139838615,3.353531559077762
TRUE,0.9,6,8500,926,0.10316,0.79998,0.2,0.32268,0.33475,0.94976,3.929418925714293,2.966610986681934
FALSE,0.9,6,54623,2533,0.09844,0.73389,0.07,0.22788,0.46186,0.83847,4.737375548745249,3.403635189790548
TRUE,1,6,9444,1028,0.10096,0.79904,0.23,0.3552,0.35593,0.95462,3.9751559784066894,3.011993114659257
FALSE,1,6,60692,2807,0.09799,0.73573,0.05,0.2236,0.5,0.81578,4.78313144915058,3.448242412634439
TRUE,0.1,7,944,115,0.11315,0.74612,0.05,0.23709,0.33898,0.906,2.974971994298069,2.060697840353612
FALSE,0.1,7,6069,283,0.10621,0.69391,0.03,0.15601,0.44915,0.78444,3.7831171374904673,2.45178643552429
TRUE,0.2,7,1889,202,0.11061,0.75926,0.01,0.25698,0.29237,0.93895,3.2762319579218335,2.305351369446624
FALSE,0.2,7,12138,585,0.10372,0.69991,0.31,0.16464,0.18644,0.94868,4.084147133154448,2.7671558660821804
TRUE,0.30000000000000004,7,2833,312,0.10867,0.78546,0.01,0.29863,0.4661,0.88277,3.452246574520437,2.494154594018443
